workerid	proliferate.condition	response	sentence	slide_number_in_experiment	tgrep_id	error
145	condition1	['Patricia', 'Patricia']		1	bot_check	
145	condition1	['Yes', '']		3	example1	
145	condition1	['No', '']		4	example2	
145	condition1	['No', False]	i think some, but not all of them, the artists are even, uh, hitting the pop charts.	6	163703:15	
145	condition1	['No', False]	we're going  to solve, try  to solve the aids problem while, while, you know, some, but not all people are getting killed  here and there	7	14833:77	
145	condition1	['Yes', True]	uh, in dallas, some, but not all of the major problems, uh,	8	129179:18	
145	condition1	['Yes', False]	and some, but not all of them aren't,	9	36612:7	
145	condition1	['No', False]	but i would think that, um, that some, but not all guidelines could be set  up to avoid that.	10	31480:39	
145	condition1	['No', True]	well, as a matter of fact, uh, my mother was going through some, but not all things  not lon-, not long ago, i guess it has been a couple of years ago, in an old trunk that she had .	11	96034:46	
145	condition1	['Yes', False]	make hot dogs or some, but not all potato chips	12	33291:14	
145	condition1	['Yes', False]	it would be an interesting, it  would be even more interesting you, you to be some, but not all of these people who  are at the other end of the spectrum.	13	43046:79	
145	condition1	['No', False]	for all the inside parts you brown hamburger and put some, but not all  um, tomato sauce in it,	14	94280:31	
145	condition1	['No', False]	and if you like chinese food, you can take filet of fish and put a little bit of soy sauce and a little bit of sesame oil on top of it and chop some scallions and a little ginger and just cover it with some, but not all uh, waxed paper and steam it just until the fish is done,	15	23861:130	
145	condition1	['No', True]	people say let me see some, but not all of your work.	16	29678:24	
145	condition1	['No', True]	this is going  to give me some, but not all more places to go .	17	106391:27	
145	condition1	['No', True]	but they get into some, but not all really good conversations sometimes, you know.	18	168216:15	
145	condition1	['Yes', False]	and some, but not all of them, i think  unconsciously do it, you know, as a just, you know, half seni-,	19	100571:7	
145	condition1	['No', True]	i'd like  to do some, but not all sailing.	20	161619:23	
145	condition1	['Yes', False]	i went to the far east, uh, back in october  to do some, but not all training for t i	21	46441:47	
145	condition1	['Yes', False]	well, certainly some, but not all of the top end ones.	22	134033:13	
145	condition1	['No', True]	it's kind of scary when i think of what  will happen in twenty years, you know, when i have kids and they're grown  and, uh, just kind of some, but not all of the changes that  will happen even more	23	75552:115	
