workerid,proliferate.condition,response,sentence,slide_number_in_experiment,tgrep_id,catch_trials,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.language,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
1,condition1,"['Jessica', 'Jessica']",,1,bot_check,[],25,Yes,,3,1,1,Female,English,Chrome,Mac,900,1440,2.06485,
1,condition1,"['Yes', '']",,3,example1,[],25,Yes,,3,1,1,Female,English,Chrome,Mac,900,1440,2.06485,
1,condition1,"['No', '']",,4,example2,[],25,Yes,,3,1,1,Female,English,Chrome,Mac,900,1440,2.06485,
1,condition1,"['Yes', False]","uh, and then what some, but not all people would consider  a little more difficult, i, i'll change spark plugs",6,140196:19,[],25,Yes,,3,1,1,Female,English,Chrome,Mac,900,1440,2.06485,
1,condition1,"['Yes', False]","uh, like i said, some, but not all industries, though, i think it'd be very necessary,",7,151338:21,[],25,Yes,,3,1,1,Female,English,Chrome,Mac,900,1440,2.06485,
1,condition1,"['No', True]","what, what  really works, uh, at least down here is, if there is, if there is some, but not all  e-, even some, but not all money basically to take care of the gas to recycle it , you know what i mean, then people tend  to do it.",8,130755:109,[],25,Yes,,3,1,1,Female,English,Chrome,Mac,900,1440,2.06485,
1,condition1,"['Yes', False]","so i guess i get some, but not all of both.",9,8884:22,[],25,Yes,,3,1,1,Female,English,Chrome,Mac,900,1440,2.06485,
1,condition1,"['Yes', False]","i think that's some, but not all of it.",10,90995:20,[],25,Yes,,3,1,1,Female,English,Chrome,Mac,900,1440,2.06485,
1,condition1,"['Yes', False]","or do some, but not all of them play the same song.",11,120517:9,[],25,Yes,,3,1,1,Female,English,Chrome,Mac,900,1440,2.06485,
1,condition1,"['Yes', False]","i, i think, with solving some of the energy, future energy problems, we'll probably solve some, but not all of the pollution problems as well.",12,103644:84,[],25,Yes,,3,1,1,Female,English,Chrome,Mac,900,1440,2.06485,
1,condition1,"['No', True]","and probably some, but not all yogurt was in there.",13,108975:9,[],25,Yes,,3,1,1,Female,English,Chrome,Mac,900,1440,2.06485,
1,condition1,"['No', True]","and it must have reflected, uh, uh, some, but not all awful good, uh, diplomacy on the part of the u s.",14,158550:31,[],25,Yes,,3,1,1,Female,English,Chrome,Mac,900,1440,2.06485,
1,condition1,"['No', True]","uh, i can't remember what the town was, some, but not all little area.",15,42183:38,[],25,Yes,,3,1,1,Female,English,Chrome,Mac,900,1440,2.06485,
1,condition1,"['No', True]","it was starting  to burn some, but not all oil.",16,83966:23,[],25,Yes,,3,1,1,Female,English,Chrome,Mac,900,1440,2.06485,
1,condition1,"['No', True]","depending upon the field, i know there are some, but not all fields which a person should go to the school, that school, all four years,",17,24055:33,[],25,Yes,,3,1,1,Female,English,Chrome,Mac,900,1440,2.06485,
1,condition1,"['No', True]","and, they have, of course, some, but not all pretty severe storms, winter storms, snow and that type of thing.",18,70357:25,[],25,Yes,,3,1,1,Female,English,Chrome,Mac,900,1440,2.06485,
1,condition1,"['Yes', False]","and, uh, you know, there was, there was, nothing on it, which  makes me wonder, you know, if it's as, uh, prevalent as, as some, but not all of them claim.",19,112156:136,[],25,Yes,,3,1,1,Female,English,Chrome,Mac,900,1440,2.06485,
1,condition1,"['No', True]","we do some cooking, some, but not all barbecueing, have a few drinks and then go in and see the game and see the patriots lose and then go home and eat, drink some more.",20,171919:19,[],25,Yes,,3,1,1,Female,English,Chrome,Mac,900,1440,2.06485,
1,condition1,"['Yes', False]","you can't understand what they're saying  on some of those songs which  probably is just as well on some, but not all of them, too.",21,108856:73,[],25,Yes,,3,1,1,Female,English,Chrome,Mac,900,1440,2.06485,
1,condition1,"['No', True]","caused some, but not all damage.",22,53610:9,[],25,Yes,,3,1,1,Female,English,Chrome,Mac,900,1440,2.06485,
1,condition1,"['Yes', False]","and some, but not all places, they, they, they really nail them for tax.",23,18479:6,[],25,Yes,,3,1,1,Female,English,Chrome,Mac,900,1440,2.06485,
1,condition1,"['Yes', False]","and then make movies out of some, but not all of them.",24,135535:24,[],25,Yes,,3,1,1,Female,English,Chrome,Mac,900,1440,2.06485,
1,condition1,"['Yes', False]","and some, but not all people call them may beetles.",25,121141:6,[],25,Yes,,3,1,1,Female,English,Chrome,Mac,900,1440,2.06485,
